,h_sales_code_hash,sales_code
162,c6a40294f0b18e30110f1880dccb0528f07627d0,Z2O
163,f314acb0c1d8d14618e83b5836c309c0455c68d8,T2S
164,ed21bdf09ae3ff6bfd4c52caa841c75f831522a9,Q7O
165,19b88c8d85e6bfc41adbe299fe24eef5918b1dbd,N4C
166,9cb986c9f0248868341538c3ad32dca179e57484,V4N
167,9fd3211a47f3451fec40966738dbbb378e33b26f,Z0A
168,dcdbe6c4f2e7bbeefb30a9450fd55a8e3a343d0a,E1Q
169,75c86e04fb4dfbb6cd792b5a9c0cce70ec322963,M9X
170,4d6e015c8685bc5b7a3b227022a410e237b84674,P8Z
171,84c61cd64b878968b329bfed0960c56a270d96f2,B5K
172,577e51850f73b7004215e0ea05c410782ac9b767,C3E
173,9f4ce3b7998e90e902d007537f3ddc5c576f9102,P1J
174,c53aa5ceac65d55b86804bbf67f38179acb4629c,Z0T
175,fa6334a27df10af875bc6d4622875dcfe52c1cb5,V2H
176,03d88486e192ab6905e980dbf0da220f843bc9c5,O1E
177,79122ce7734398c20e2a9a6158e82de66af6d3a8,N4W
178,91f2b7f0daf117d6113f533c5b941cc0f6a6d48f,D2N
179,4dea4725ea2ab0a154b073d737b2f732b7acc32f,W7Z
180,b0cf917e5877b0c9706c90bc4bdcc7b3e6f13af8,D4T
181,109a5f57b4f65672d778602b0de66d39031488eb,E5Y
182,db60a4d84d9be4186d22bee5fb220feb3cd83ff6,C1U
183,63500ded7b42924c9699c9d463026cbedba47dc0,U6B
184,f73b62819eeed3be56a7208f8ad0ff6f97513656,M1C
185,57c73b90a25ed7ed246f1d4ee04153ce99ece5b1,J2I
186,f5407441617a7bc58b394ceb7a95f477166c8f20,E7B
187,188d85b41779b456e1dfd2f47fc25ce7a50a016d,S5B
188,6ed2d4ba95ca345d7a056add9450db3dbef2201e,S8D
189,99c20a66bb8b7be1b2271ab33aebbfd7aa7571b1,M9V
190,01a640081277e39cb07bd79bc1655aa975f25af9,C9R
191,1a93767abbe12cb356abd4d9f575c83f4a7e2fcc,R9A
192,07b93c2ae5e2e7564004617f3f2e7a41ee947a97,D9G
193,1105e6c78c37e971ac7b8679740a37ebf655f62b,Z2E
194,16d554ae7875793f6270a14712553f3cb7b1e64e,Y6A
195,8c6c237356827d88f81bc3bb501db7dfee01aedf,W0Q
196,43e4659f321a542a54cd2d0f050216651074d4e0,Z7C
